"bbox","country","Address"
"{u'west': -83.7397409, u'east': -83.5485979, u'north': 32.899785, u'south': 32.765651}","USA","macon-ga"
"{u'west': 106.6883999, u'east': 106.980499, u'north': -6.08935, u'south': -6.37657}","Indonesia","jakarta"
"{u'west': 103.816, u'east': 103.8994, u'north':13.401, u'south':13.3262}","Cambodia","siem-reap"
"{u'west': -48.2859823, u'east': -47.3072623, u'north': -15.5001937, u'south': -16.0524045}","Brazil","brasilia-brazil"
"{u'west': 11.1540365, u'east': 11.3310908, u'north': 43.8329368, u'south': 43.7269795}","Italy","florence"
"{u'west': -79.639219, u'east': -79.1161932, u'north': 43.8554579, u'south': 43.5810846}","Canada","toronto"
"{u'west': 68.6968, u'east': 68.8228, u'north': 38.611, u'south': 38.4513}","Tajikistan","dushanbe"
"{u'west': -71.191113, u'east': -70.9232011, u'north': 42.3988669, u'south': 42.22788}","USA","boston"
"{u'west': -0.638973, u'east': -0.533309, u'north': 44.9167039, u'south': 44.810752}","France","bordeaux"
"{u'west': -117.1219802, u'east': -116.837566, u'north': 32.5545297, u'south': 32.4458645}","Mexico","san-diego-tijuana"
"{u'west': 2.967966, u'east': 3.1263549, u'north': 50.661248, u'south': 50.600887}","France","lille"
"{u'west': 7.4091049, u'east': 7.4398113, u'north': 43.7519029, u'south': 43.7247428}","Monaco","monaco"
"{u'west': -43.7954493, u'east': -43.0993817, u'north': -22.749045, u'south': -23.0830199}","Brazil","rio-de-janeiro"
"{u'west': -77.885965, u'east': -77.8191779, u'north': 40.8075369, u'south': 40.7684919}","USA","state-college-pa"
"{u'west': 139.510574, u'east': 139.910202, u'north': 35.817813, u'south': 35.528873}","Japan","tokyo"
"{u'west': -123.22474, u'east': -123.023068, u'north': 49.314095, u'south': 49.1998604}","Canada","vancouver"
"{u'west': -83.2102799, u'east': -82.7713781, u'north': 40.1572719, u'south': 39.808631}","USA","columbus-oh"
"{u'west': 126.7968, u'east': 127.1823, u'north': 37.6956, u'south': 37.4346}","South Korea","seoul"
"{u'west': -115.4, u'east': -114.95, u'north': 36.3, u'south': 35.95}","USA","las-vegas"
"{u'west': 27.942449, u'east': 28.1376001, u'north': -26.1041199, u'south': -26.2389231}","South Africa","johannesburg"
"{u'west': 12.3038617, u'east': 12.3671051, u'north': 45.4493156, u'south': 45.4246695}","Italy","venice"
"{u'west': 51.0932922, u'east': 51.6872406, u'north': 35.8498733, u'south': 35.4923498}","Iran","tehran"
"{u'west': -74.4517699, u'east': -73.99631, u'north': 4.8371001, u'south': 3.72977}","Colombia","bogota"
"{u'west': -1.6740915, u'east': -1.3973731, u'north': 53.9153216, u'south': 53.7308029}","UK","leeds"
"{u'west': 80.1487826, u'east': 80.3322912, u'north': 13.2340852, u'south': 12.9459267}","India","chennai"
"{u'west':-76.7115191, u'east': -76.5294528, u'north': 39.3722059, u'south': 39.1972069}","USA","dc-baltimore"
"{u'west': 23.051092, u'east': 23.6787158, u'north': 42.8964646, u'south': 42.4123617}","Bulgaria","sofia"
"{u'west': 76.785679, u'east': 77.1467686, u'north': 43.4194502, u'south': 43.1105079}","Kazakhstan","almaty"
"{u'west': -77.0883395, u'east': -77.0020311, u'north': -12.0308632, u'south': -12.0798252}","Peru","lima"
"{u'west': 18.1673925, u'east': 18.456367, u'north': 43.9290737, u'south': 43.7786552}","Bosnia and Herzegovina","sarajevo"
"{u'west': 7.6881429, u'east': 7.8360451, u'north': 48.6462221, u'south': 48.492005}","France","strasbourg"
"{u'west': 68.9989471, u'east': 69.4026947, u'north': 34.6094755, u'south': 34.4312663}","Afghanistan","kabul"
"{u'west': 3.807044, u'east': 3.941279, u'north': 43.6532999, u'south': 43.566744}","France","montpellier"
"{u'west': 2.0695258, u'east': 2.2280099, u'north': 41.4695761, u'south': 41.320004}","Spain","barcelona"
"{u'west': 28.5955539, u'east': 29.4288053, u'north': 41.199239, u'south': 40.811404}","Turkey","istanbul"
"{u'west': 4.3138, u'east': 4.4369799, u'north': 50.91371, u'south': 50.7962401}","Belgium","brussels"
"{u'west': 76.8538285, u'east': 77.3416993, u'north': 28.8822535, u'south': 28.4221974}","India","new-delhi"
"{u'west': -58.5314522, u'east': -58.3351447, u'north': -34.5265464, u'south': -34.7051589}","Argentina","buenos-aires"
"{u'west': -123.394489, u'east': -123.322346, u'north': 48.450518, u'south': 48.4025175}","Canada","victoria"
"{u'west': 44.1559839, u'east': 44.5558261, u'north': 33.4350586, u'south': 33.1883135}","Iraq","baghdad"
"{u'west': 19.7922386, u'east': 20.2174878, u'north': 50.126126, u'south': 49.9674055}","Poland","krakow"
"{u'west': 120.8397067, u'east': 122.1137989, u'north': 31.6688967, u'south': 30.7798012}","China","shanghai"
"{u'west': -1.0127269, u'east': -0.9642879, u'north': 37.6397102, u'south': 37.5951131}","Spain","cartagena"
"{u'west': 12.4988635, u'east': 12.6682953, u'north': 55.7270937, u'south': 55.6177647}","Denmark","copenhagen"
"{u'west': -49.3916433, u'east': -49.1851541, u'north': -25.3457471, u'south': -25.6447517}","Brazil","curitiba-brazil"
"{u'west': 36.6454191, u'east': 37.0493746, u'north': -1.164744, u'south': -1.4448631}","Kenya","nairobi"
"{u'west': -88.070876, u'east': -87.8639841, u'north': 43.1949671, u'south': 42.9208158}","USA","milwaukee"
"{u'west': -81.878976, u'east': -81.5327439, u'north': 41.5992668, u'south': 41.390628}","USA","cleveland"
"{u'west': -122.4359085, u'east': -122.235776, u'north': 47.734145, u'south': 47.4955511}","USA","seattle"
"{u'west': -21.9865021, u'east': -21.7273041, u'north': 64.1750702, u'south': 64.0898138}","Iceland","reykjavik"
"{u'west': -72.3617289, u'east': -72.2071266, u'north': 18.6600686, u'south': 18.4980056}","Haiti","port-au-prince"
"{u'west': 150.502229, u'east': 151.3426361, u'north': -33.4245981, u'south': -34.1692489}","Australia","sydney"
"{u'west': 31.2220669, u'east': 31.3019729, u'north': 30.1106024, u'south': 30.0092282}","Egypt","cairo"
"{u'west': -3.3330187, u'east': -3.0777484, u'north': 55.9919841, u'south': 55.8904228}","UK","edinburgh"
"{u'west': -122.527, u'east': -122.3482, u'north': 37.812, u'south': 37.7034}","USA","san-francisco"
"{u'west': -46.8260392, u'east': -46.3650521, u'north': -23.3567927, u'south': -24.0088145}","Brazil","sao-paulo"
"{u'west': 46.2981033, u'east': 47.3469543, u'north': 25.1564724, u'south': 24.2939113}","Saudi Arabia","riyadh"
"{u'west': -84.5518189, u'east': -84.289389, u'north': 33.8876179, u'south': 33.6478079}","USA","atlanta"
"{u'west': -1.7810817, u'east': -1.5213511, u'north': 55.0453044, u'south': 54.9594399}","UK","newcastle"
"{u'west': -80.0952779, u'east': -79.8657231, u'north': 40.501368, u'south': 40.3613689}","USA","pittsburgh"
"{u'west': -93.207787, u'east': -93.0043198, u'north': 44.992016, u'south': 44.887399}","USA","mpls-stpaul"
"{u'west': -73.9476642, u'east': -73.476069, u'north': 45.7042148, u'south': 45.4146668}","Canada","montreal"
"{u'west': -95.7880869, u'east': -95.014496, u'north': 30.1107319, u'south': 29.523624}","USA","houston"
"{u'west': 23.6869862, u'east': 23.7896925, u'north': 38.0328563, u'south': 37.9488181}","Greece","athens"
"{u'west': -9.2298356, u'east': -9.0905719, u'north': 38.7958538, u'south': 38.6913994}","Portugal","lisbon"
"{u'west': -99.3641835, u'east': -98.9401855, u'north': 19.5919189, u'south': 19.0482787}","Mexico","mexico-city"
"{u'west': 1.350328, u'east': 1.515354, u'north': 43.6686919, u'south': 43.532708}","France","toulouse"
"{u'west': -2.3000969, u'east': -2.1470875, u'north': 53.5445879, u'south': 53.399903}","UK","manchester"
"{u'west': -157.9494185, u'east': -157.6485225, u'north': 21.4012299, u'south': 21.2549062}","USA","honolulu"
"{u'west': -90.320515, u'east': -90.166409, u'north': 38.774349, u'south': 38.5318519}","USA","st-louis"
"{u'west': -54.9235211, u'east': -53.5998675, u'north': -20.1660779, u'south': -21.5850662}","Brazil","campo-grande"
"{u'west': 8.2774096, u'east': 8.5416581, u'north': 49.0912684, u'south': 48.9404298}","Germany","karlsruhe"
"{u'west': -81.0089046, u'east': -80.670104, u'north': 35.393133, u'south': 35.0131739}","USA","charlotte"
"{u'west': 35.266057, u'east': 35.3135779, u'north': 32.755596, u'south': 32.672762}","Israel","nazareth"
"{u'west': -87.637548, u'east': -87.450011, u'north': 38.0568899, u'south': 37.935588}","USA","evansville"
"{u'west': 8.4727299, u'east': 8.8003977, u'north': 50.2272095, u'south': 50.0152145}","Germany","frankfurt"
"{u'west': 174.4438016, u'east': 175.2871371, u'north': -36.660571, u'south': -37.0654751}","New Zealand","auckland"
"{u'west': -90.1376407, u'east': -89.6269311, u'north': 30.1748625, u'south': 29.8687774}","USA","new-orleans"
"{u'west': -84.7120481, u'east': -84.3687548, u'north': 39.2207591, u'south': 39.051921}","USA","cincinnati"
"{u'west': 103.6056246, u'east': 104.0856805, u'north': 1.4708809, u'south': 1.166398}","Singapore","singapore"
"{u'west': -3.8341618, u'east': -3.5249115, u'north': 40.5635903, u'south': 40.3120639}","Spain","madrid"
"{u'west': 20.85129, u'east': 21.2710986, u'north': 52.3679991, u'south': 52.0978768}","Poland","warsaw"
"{u'west': -8.6910927, u'east': -8.5526134, u'north': 41.1859353, u'south': 41.1383506}","Portugal","porto"
"{u'west': -105.2899903, u'east': -105.0068986, u'north': 40.0690971, u'south': 39.7582673}","USA","denver-boulder"
"{u'west': 5.2779261, u'east': 5.5323519, u'north': 43.3911601, u'south': 43.169621}","France","marseille"
"{u'west': 16.4280679, u'east': 16.7278532, u'north': 49.294485, u'south': 49.1096552}","Czech Republic","brno"
"{u'west': 135.4726, u'east': 135.5177, u'north': 34.7109, u'south': 34.6459}","Japan","osaka"
"{u'west': -124.4096196, u'east': -123.40604, u'north': 41.465846, u'south': 40.0012479}","USA","humboldt-ca"
"{u'west': 72.7759056, u'east': 72.9800523, u'north': 19.2695224, u'south': 18.8933087}","India","mumbai"
"{u'west': -70.0187874, u'east': -69.8750532, u'north': 18.5475279, u'south': 18.4130476}","Dominican Republic","santo-domingo"
"{u'west': 120.933238, u'east': 121.0261686, u'north': 14.6396454, u'south': 14.5541555}","Philippines","manila"
"{u'west': 77.3791981, u'east': 77.8826809, u'north': 13.1737060, u'south': 12.7342888}","India","bengaluru"
"{u'west': -2.0174336, u'east': -1.7098294, u'north': 52.5688762, u'south': 52.3859990}","UK","birmingham"
"{u'west': 4.3795122, u'east': 4.6013004, u'north': 51.9943107, u'south': 51.8616338}","The Netherlands","rotterdam"
"{u'west': 30.0903320, u'east': 30.5597830, u'north': 60.0896750, u'south': 59.7452159}","Russia","st-petersburg"
"{u'west': 16.94617470, u'east': 17.28565940, u'north': 48.26504610, u'south': 48.00668650}","Slovakia","bratislava"
"{u'west': -77.1197590, u'east': -76.90939299999999, u'north': 38.995548, u'south': 38.79164490}","USA","district-of-columbia"
